Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ORF )	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (synonym )
P31383	2AAA_YEAST	reviewed	Protein phosphatase PP2A regulatory subunit A (PR65)	TPD3 YAL016W FUN32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	635	FUN32	TPD3	YAL016W	
P47129	ACF4_YEAST	reviewed	Assembly-complementing factor 4	ACF4 YJR083C J1857	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309	J1857	ACF4	YJR083C	
P52892	ALAT_YEAST	reviewed	Probable alanine aminotransferase (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	ALT2 YDR111C YD9727.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507	YD9727.07C	ALT2	YDR111C	
P16474	BIP_YEAST	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein homolog) (GRP-78) (Immunoglobulin heavy chain-binding protein homolog) (BiP)	KAR2 GRP78 SSD1 YJL034W J1248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	682	J1248	KAR2	YJL034W	GRP78 SSD1
Q99177	BRR1_YEAST	reviewed	Pre-mRNA-splicing factor BRR1 (Bad response to refrigeration protein 1)	BRR1 YPR057W YP9499.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341	YP9499.13	BRR1	YPR057W	
P53755	BSC5_YEAST	reviewed	Bypass of stop codon protein 5	BSC5 YNR069C N3555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	489	N3555	BSC5	YNR069C	
P36106	BYE1_YEAST	reviewed	Transcription factor BYE1 (Bypass of ESS1 protein 1)	BYE1 YKL005C YKL150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	594	YKL150	BYE1	YKL005C	
P03874	CBP2_YEAST	reviewed	Cytochrome B pre-mRNA-processing protein 2	CBP2 YHL038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630		CBP2	YHL038C	
P11433	CDC24_YEAST	reviewed	Cell division control protein 24 (Calcium regulatory protein)	CDC24 CLS4 YAL041W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	854		CDC24	YAL041W	CLS4
Q3E835	CENPS_YEAST	reviewed	Inner kinetochore subunit MHF1 (CENP-S homolog) (Constitutive centromere-associated network protein MHF1) (MHF histone-fold complex subunit 1) (MPH1-associated histone-fold protein 1)	MHF1 YOL086W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	90		MHF1	YOL086W-A	
